,MIR222_d22_t30_ct100_status,MIR222_d22_t30_ct100_times,MIR222_d22_t30_ct100_cuts,MIR222_d22_t30_ct100_correlation,MIR222_d33_t30_ct100_status,MIR222_d33_t30_ct100_times,MIR222_d33_t30_ct100_cuts,MIR222_d33_t30_ct100_correlation,MIR222_d44_t30_ct100_status,MIR222_d44_t30_ct100_times,MIR222_d44_t30_ct100_cuts,MIR222_d44_t30_ct100_correlation,MIR222_d23_t30_ct100_status,MIR222_d23_t30_ct100_times,MIR222_d23_t30_ct100_cuts,MIR222_d23_t30_ct100_correlation,MIR222_d24_t30_ct100_status,MIR222_d24_t30_ct100_times,MIR222_d24_t30_ct100_cuts,MIR222_d24_t30_ct100_correlation,MIR222_d22_t30_ct1000_status,MIR222_d22_t30_ct1000_times,MIR222_d22_t30_ct1000_cuts,MIR222_d22_t30_ct1000_correlation,MIR222_d33_t30_ct1000_status,MIR222_d33_t30_ct1000_times,MIR222_d33_t30_ct1000_cuts,MIR222_d33_t30_ct1000_correlation,MIR222_d44_t30_ct1000_status,MIR222_d44_t30_ct1000_times,MIR222_d44_t30_ct1000_cuts,MIR222_d44_t30_ct1000_correlation,MIR222_d23_t30_ct1000_status,MIR222_d23_t30_ct1000_times,MIR222_d23_t30_ct1000_cuts,MIR222_d23_t30_ct1000_correlation,MIR222_d24_t30_ct1000_status,MIR222_d24_t30_ct1000_times,MIR222_d24_t30_ct1000_cuts,MIR222_d24_t30_ct1000_correlation,MIR199A1_d22_t30_ct100_status,MIR199A1_d22_t30_ct100_times,MIR199A1_d22_t30_ct100_cuts,MIR199A1_d22_t30_ct100_correlation,MIR199A1_d33_t30_ct100_status,MIR199A1_d33_t30_ct100_times,MIR199A1_d33_t30_ct100_cuts,MIR199A1_d33_t30_ct100_correlation,MIR199A1_d44_t30_ct100_status,MIR199A1_d44_t30_ct100_times,MIR199A1_d44_t30_ct100_cuts,MIR199A1_d44_t30_ct100_correlation,MIR199A1_d23_t30_ct100_status,MIR199A1_d23_t30_ct100_times,MIR199A1_d23_t30_ct100_cuts,MIR199A1_d23_t30_ct100_correlation,MIR199A1_d24_t30_ct100_status,MIR199A1_d24_t30_ct100_times,MIR199A1_d24_t30_ct100_cuts,MIR199A1_d24_t30_ct100_correlation,MIR199A1_d44_t30_ct1000_status,MIR199A1_d44_t30_ct1000_times,MIR199A1_d44_t30_ct1000_cuts,MIR199A1_d44_t30_ct1000_correlation,MIR199A1_d33_t30_ct1000_status,MIR199A1_d33_t30_ct1000_times,MIR199A1_d33_t30_ct1000_cuts,MIR199A1_d33_t30_ct1000_correlation,MIR199A1_d22_t30_ct1000_status,MIR199A1_d22_t30_ct1000_times,MIR199A1_d22_t30_ct1000_cuts,MIR199A1_d22_t30_ct1000_correlation,MIR199A1_d23_t30_ct1000_status,MIR199A1_d23_t30_ct1000_times,MIR199A1_d23_t30_ct1000_cuts,MIR199A1_d23_t30_ct1000_correlation,MIR199A1_d24_t30_ct1000_status,MIR199A1_d24_t30_ct1000_times,MIR199A1_d24_t30_ct1000_cuts,MIR199A1_d24_t30_ct1000_correlation,MIR199A1_d22_t30_ct10000_status,MIR199A1_d22_t30_ct10000_times,MIR199A1_d22_t30_ct10000_cuts,MIR199A1_d22_t30_ct10000_correlation,MIR199A1_d33_t30_ct10000_status,MIR199A1_d33_t30_ct10000_times,MIR199A1_d33_t30_ct10000_cuts,MIR199A1_d33_t30_ct10000_correlation,MIR199A1_d44_t30_ct10000_status,MIR199A1_d44_t30_ct10000_times,MIR199A1_d44_t30_ct10000_cuts,MIR199A1_d44_t30_ct10000_correlation,MIR199A1_d23_t30_ct10000_status,MIR199A1_d23_t30_ct10000_times,MIR199A1_d23_t30_ct10000_cuts,MIR199A1_d23_t30_ct10000_correlation,MIR199A1_d24_t30_ct10000_status,MIR199A1_d24_t30_ct10000_times,MIR199A1_d24_t30_ct10000_cuts,MIR199A1_d24_t30_ct10000_correlation
A4GALT,OPTIMAL,0.0,0,-0.24272622382170517,OPTIMAL,0.002000093460083008,6,-0.04683512224465003,OPTIMAL,0.006000041961669922,30,0.015899950184697084,OPTIMAL,0.003999948501586914,25,-0.36669004967685853,CUT_LIMIT,0.03500008583068848,100,,OPTIMAL,0.0,0,-0.24272622382170517,OPTIMAL,0.0,6,-0.04683512224465003,OPTIMAL,0.006000041961669922,30,0.015899950184697084,OPTIMAL,0.002000093460083008,25,-0.36669004967685853,OPTIMAL,0.06099963188171387,142,-0.9570733907738969,OPTIMAL,0.0010001659393310547,0,-0.06050032321113339,OPTIMAL,0.0009999275207519531,3,-0.05722162103865609,OPTIMAL,0.0,9,-0.45243348006594114,OPTIMAL,0.0039997100830078125,20,-1.0000000000012936,OPTIMAL,0.00800013542175293,24,-1.000000001637866,OPTIMAL,0.0009999275207519531,9,-0.45243348006594114,OPTIMAL,0.0009999275207519531,3,-0.05722162103865609,OPTIMAL,0.0,0,-0.06050032321113339,OPTIMAL,0.004000186920166016,20,-1.0000000000012936,OPTIMAL,0.0030002593994140625,24,-1.000000001637866,OPTIMAL,0.009999990463256836,0,-0.06050032321113339,OPTIMAL,0.0009999275207519531,3,-0.05722162103865609,OPTIMAL,0.0,9,-0.45243348006594114,OPTIMAL,0.003000020980834961,20,-1.0000000000012936,OPTIMAL,0.004999876022338867,24,-1.000000001637866
AAAS,OPTIMAL,0.0,0,-0.3424785761684766,OPTIMAL,0.0009999275207519531,3,-0.17266554904253764,CUT_LIMIT,0.010999679565429688,100,,OPTIMAL,0.009000301361083984,43,-0.9974249464775387,CUT_LIMIT,0.05500030517578125,100,,OPTIMAL,0.0,0,-0.3424785761684766,OPTIMAL,0.0010001659393310547,3,-0.17266554904253764,CUT_LIMIT,0.3690004348754883,1000,,OPTIMAL,0.0,43,-0.9974249464775387,CUT_LIMIT,4.6799962520599365,1000,,OPTIMAL,0.002000093460083008,0,-0.11396181690971095,OPTIMAL,0.0019998550415039062,6,0.047638271460894784,CUT_LIMIT,0.01100015640258789,100,,OPTIMAL,0.0009999275207519531,23,-1.0000003804044442,CUT_LIMIT,0.03899979591369629,100,,CUT_LIMIT,0.3509993553161621,1000,,OPTIMAL,0.0009999275207519531,6,0.047638271460894784,OPTIMAL,0.0009999275207519531,0,-0.11396181690971095,OPTIMAL,0.0010001659393310547,23,-1.0000003804044442,OPTIMAL,0.03299975395202637,127,-0.8980285464256669,OPTIMAL,0.0,0,-0.11396181690971095,OPTIMAL,0.0019998550415039062,6,0.047638271460894784,TOTAL_TIME_LIMIT,30.0000102519989,8933,,OPTIMAL,0.0010001659393310547,23,-1.0000003804044442,OPTIMAL,0.03900003433227539,127,-0.8980285464256669
AACS,OPTIMAL,0.0,0,-0.3745500966612995,OPTIMAL,0.0010001659393310547,3,-0.20178624439760046,OPTIMAL,0.0009999275207519531,25,-0.013425291652515787,OPTIMAL,0.0039997100830078125,30,-1.0000000001566374,CUT_LIMIT,0.08700060844421387,100,,OPTIMAL,0.0,0,-0.3745500966612995,OPTIMAL,0.0,3,-0.20178624439760046,OPTIMAL,0.002000093460083008,25,-0.013425291652515787,OPTIMAL,0.004000186920166016,30,-1.0000000001566374,CUT_LIMIT,0.620999813079834,1000,,OPTIMAL,0.0,0,-0.12089340307445469,OPTIMAL,0.0,4,-0.11050212812904005,OPTIMAL,0.006000041961669922,36,-0.05589514350469721,OPTIMAL,0.003000020980834961,22,-1.000000017954705,CUT_LIMIT,0.0279998779296875,100,,OPTIMAL,0.004000186920166016,36,-0.05589514350469721,OPTIMAL,0.0,4,-0.11050212812904005,OPTIMAL,0.0,0,-0.12089340307445469,OPTIMAL,0.0009999275207519531,22,-1.000000017954705,OPTIMAL,0.05100083351135254,141,-0.9999727375730233,OPTIMAL,0.0,0,-0.12089340307445469,OPTIMAL,0.002000093460083008,4,-0.11050212812904005,OPTIMAL,0.003999948501586914,36,-0.05589514350469721,OPTIMAL,0.003999948501586914,22,-1.000000017954705,OPTIMAL,0.05000042915344238,141,-0.9999727375730233
AADAT,OPTIMAL,0.0,0,-0.31853306428413397,OPTIMAL,0.0,4,-0.21296222274796361,OPTIMAL,0.0019998550415039062,22,0.06653802671402495,OPTIMAL,0.006000041961669922,42,0.27249268262134324,CUT_LIMIT,0.03800034523010254,100,,OPTIMAL,0.0,0,-0.31853306428413397,OPTIMAL,0.0,4,-0.21296222274796361,OPTIMAL,0.003000020980834961,22,0.06653802671402495,OPTIMAL,0.004999876022338867,42,0.27249268262134324,OPTIMAL,0.048999786376953125,135,0.973203945407351,OPTIMAL,0.0009999275207519531,0,-0.09468548612528628,OPTIMAL,0.003000020980834961,3,-0.09799924855392539,OPTIMAL,0.0,9,-0.6376750193693825,OPTIMAL,0.0019998550415039062,10,-1.0000000000150193,OPTIMAL,0.0009999275207519531,20,-1.0000001951357513,OPTIMAL,0.0019998550415039062,9,-0.6376750193693825,OPTIMAL,0.0,3,-0.09799924855392539,OPTIMAL,0.0009999275207519531,0,-0.09468548612528628,OPTIMAL,0.0010001659393310547,10,-1.0000000000150193,OPTIMAL,0.0019998550415039062,20,-1.0000001951357513,OPTIMAL,0.0,0,-0.09468548612528628,OPTIMAL,0.0009999275207519531,3,-0.09799924855392539,OPTIMAL,0.0019998550415039062,9,-0.6376750193693825,OPTIMAL,0.0,10,-1.0000000000150193,OPTIMAL,0.0010001659393310547,20,-1.0000001951357513
AAGAB,OPTIMAL,0.0009999275207519531,0,-0.34406850021969737,OPTIMAL,0.002000093460083008,5,0.3507665572711665,OPTIMAL,0.010000228881835938,77,0.5799926731670058,OPTIMAL,0.0030002593994140625,37,-0.9792849374077321,CUT_LIMIT,0.037000179290771484,100,,OPTIMAL,0.0,0,-0.34406850021969737,OPTIMAL,0.0,5,0.3507665572711665,OPTIMAL,0.014000177383422852,77,0.5799926731670058,OPTIMAL,0.003999948501586914,37,-0.9792849374077321,OPTIMAL,0.8079948425292969,644,0.9981577699696849,OPTIMAL,0.0,0,-0.11344045455123579,OPTIMAL,0.0009999275207519531,4,-0.027389895756416118,OPTIMAL,0.006000041961669922,45,0.10242642520875293,OPTIMAL,0.003000020980834961,23,-1.0000001625914074,CUT_LIMIT,0.037999629974365234,100,,OPTIMAL,0.006999969482421875,45,0.10242642520875293,OPTIMAL,0.0,4,-0.027389895756416118,OPTIMAL,0.0,0,-0.11344045455123579,OPTIMAL,0.002000093460083008,23,-1.0000001625914074,OPTIMAL,0.03199934959411621,116,-0.9193500976697053,OPTIMAL,0.0,0,-0.11344045455123579,OPTIMAL,0.0009999275207519531,4,-0.027389895756416118,OPTIMAL,0.017999649047851562,45,0.10242642520875293,OPTIMAL,0.003999948501586914,23,-1.0000001625914074,OPTIMAL,0.05000114440917969,116,-0.9193500976697053
AAK1,OPTIMAL,0.0009999275207519531,0,-0.410704154801589,OPTIMAL,0.0,2,-0.14787524970468297,OPTIMAL,0.005000114440917969,37,0.20891441781796055,OPTIMAL,0.0069997310638427734,46,-0.9281727408519417,CUT_LIMIT,0.04199981689453125,100,,OPTIMAL,0.0010001659393310547,0,-0.410704154801589,OPTIMAL,0.0,2,-0.14787524970468297,OPTIMAL,0.0039997100830078125,37,0.20891441781796055,OPTIMAL,0.00599980354309082,46,-0.9281727408519417,OPTIMAL,0.05800032615661621,179,-0.2471923334775625,OPTIMAL,0.0,0,-0.1576989786094725,OPTIMAL,0.0009999275207519531,8,0.007433873798270352,OPTIMAL,0.004999876022338867,26,0.06616163451207656,OPTIMAL,0.0010001659393310547,27,-1.0000000000423575,CUT_LIMIT,0.04000115394592285,100,,OPTIMAL,0.0029997825622558594,26,0.06616163451207656,OPTIMAL,0.0,8,0.007433873798270352,OPTIMAL,0.0,0,-0.1576989786094725,OPTIMAL,0.005000114440917969,27,-1.0000000000423575,OPTIMAL,0.03200030326843262,116,-0.8092248935161864,OPTIMAL,0.0,0,-0.1576989786094725,OPTIMAL,0.0,8,0.007433873798270352,OPTIMAL,0.004000186920166016,26,0.06616163451207656,OPTIMAL,0.003000020980834961,27,-1.0000000000423575,OPTIMAL,0.05000042915344238,116,-0.8092248935161864
AAMDC,OPTIMAL,0.0,0,-0.4369421861905899,OPTIMAL,0.0009999275207519531,2,-0.1398841760275817,OPTIMAL,0.0009999275207519531,21,-0.0006648960846216567,OPTIMAL,0.006999969482421875,31,-1.0000000681374095,CUT_LIMIT,0.05299997329711914,100,,OPTIMAL,0.0,0,-0.4369421861905899,OPTIMAL,0.0010001659393310547,2,-0.1398841760275817,OPTIMAL,0.0,21,-0.0006648960846216567,OPTIMAL,0.005000591278076172,31,-1.0000000681374095,OPTIMAL,1.8380000591278076,654,-0.6920098117518287,OPTIMAL,0.0,0,-0.16330265227749988,OPTIMAL,0.0,3,-0.15158036597163033,OPTIMAL,0.0,5,-0.10822238834661166,OPTIMAL,0.003000020980834961,23,-1.0000000080599238,CUT_LIMIT,0.034999847412109375,100,,OPTIMAL,0.003000020980834961,5,-0.10822238834661166,OPTIMAL,0.0,3,-0.15158036597163033,OPTIMAL,0.0,0,-0.16330265227749988,OPTIMAL,0.003999948501586914,23,-1.0000000080599238,OPTIMAL,0.04599952697753906,149,-0.925989769884101,OPTIMAL,0.0,0,-0.16330265227749988,OPTIMAL,0.0010001659393310547,3,-0.15158036597163033,OPTIMAL,0.002000093460083008,5,-0.10822238834661166,OPTIMAL,0.002000093460083008,23,-1.0000000080599238,OPTIMAL,0.06600046157836914,149,-0.925989769884101
AAMP,OPTIMAL,0.0,0,-0.36248819368555196,OPTIMAL,0.0,2,-0.07987821063041932,OPTIMAL,0.0029997825622558594,44,0.2314773474093491,OPTIMAL,0.009000301361083984,58,0.6436642780744376,CUT_LIMIT,0.09100055694580078,100,,OPTIMAL,0.0009999275207519531,0,-0.36248819368555196,OPTIMAL,0.0,2,-0.07987821063041932,OPTIMAL,0.009000062942504883,44,0.2314773474093491,OPTIMAL,0.008999824523925781,58,0.6436642780744376,OPTIMAL,0.31999731063842773,286,0.9999623690351335,OPTIMAL,0.0,0,-0.13386532613413185,OPTIMAL,0.0,6,0.02854229341583556,OPTIMAL,0.0009999275207519531,6,0.029957741517936568,OPTIMAL,0.0019998550415039062,32,-1.0000011260338897,CUT_LIMIT,0.02500009536743164,100,,OPTIMAL,0.0,6,0.029957741517936568,OPTIMAL,0.0,6,0.02854229341583556,OPTIMAL,0.0,0,-0.13386532613413185,OPTIMAL,0.005000114440917969,32,-1.0000011260338897,OPTIMAL,0.0409998893737793,109,-0.9679327797844947,OPTIMAL,0.0,0,-0.13386532613413185,OPTIMAL,0.0019998550415039062,6,0.02854229341583556,OPTIMAL,0.0009999275207519531,6,0.029957741517936568,OPTIMAL,0.003999948501586914,32,-1.0000011260338897,OPTIMAL,0.043000221252441406,109,-0.9679327797844947
AAR2,OPTIMAL,0.0,0,-0.3271119820575247,OPTIMAL,0.0,2,-0.10148891604302504,OPTIMAL,0.0,7,0.2523622513814588,OPTIMAL,0.006000041961669922,56,0.9491612607854613,CUT_LIMIT,0.05099964141845703,100,,OPTIMAL,0.0010001659393310547,0,-0.3271119820575247,OPTIMAL,0.0,2,-0.10148891604302504,OPTIMAL,0.0009999275207519531,7,0.2523622513814588,OPTIMAL,0.0029997825622558594,56,0.9491612607854613,OPTIMAL,0.3340010643005371,330,-0.8854396842458064,OPTIMAL,0.0,0,-0.11233001054181803,OPTIMAL,0.002000093460083008,14,0.03406957912260122,OPTIMAL,0.0010001659393310547,19,0.09187524955050282,OPTIMAL,0.0009999275207519531,25,-1.0000000000081004,CUT_LIMIT,0.016999483108520508,100,,OPTIMAL,0.003999948501586914,19,0.09187524955050282,OPTIMAL,0.0009999275207519531,14,0.03406957912260122,OPTIMAL,0.0009999275207519531,0,-0.11233001054181803,OPTIMAL,0.0029997825622558594,25,-1.0000000000081004,OPTIMAL,0.025000572204589844,103,-0.9063596114897994,OPTIMAL,0.0,0,-0.11233001054181803,OPTIMAL,0.0010001659393310547,14,0.03406957912260122,OPTIMAL,0.0010001659393310547,19,0.09187524955050282,OPTIMAL,0.003999948501586914,25,-1.0000000000081004,OPTIMAL,0.019999980926513672,103,-0.9063596114897994
AARS2,OPTIMAL,0.0,0,-0.3118172927830219,OPTIMAL,0.0009999275207519531,2,-0.14278083902695643,CUT_LIMIT,0.012999534606933594,100,,OPTIMAL,0.002000093460083008,31,-1.00000001232911,CUT_LIMIT,0.03400015830993652,100,,OPTIMAL,0.0,0,-0.3118172927830219,OPTIMAL,0.0,2,-0.14278083902695643,CUT_LIMIT,0.33099937438964844,1000,,OPTIMAL,0.0029997825622558594,31,-1.00000001232911,OPTIMAL,0.03600025177001953,129,-0.9481582261491514,OPTIMAL,0.0,0,-0.0816740603338616,OPTIMAL,0.0,3,-0.0680669117034702,OPTIMAL,0.0009999275207519531,8,-0.537920927047893,OPTIMAL,0.002000093460083008,11,-1.0000009008683843,OPTIMAL,0.0,32,-0.9977535108615199,OPTIMAL,0.0009999275207519531,8,-0.537920927047893,OPTIMAL,0.002000093460083008,3,-0.0680669117034702,OPTIMAL,0.0,0,-0.0816740603338616,OPTIMAL,0.0,11,-1.0000009008683843,OPTIMAL,0.004000186920166016,32,-0.9977535108615199,OPTIMAL,0.0,0,-0.0816740603338616,OPTIMAL,0.0,3,-0.0680669117034702,OPTIMAL,0.0009999275207519531,8,-0.537920927047893,OPTIMAL,0.0030002593994140625,11,-1.0000009008683843,OPTIMAL,0.003999948501586914,32,-0.9977535108615199
AASDH,OPTIMAL,0.0,0,-0.24211932528100677,OPTIMAL,0.0,2,-0.22357166684409685,OPTIMAL,0.0019998550415039062,30,0.2481761060490699,OPTIMAL,0.0010001659393310547,38,-1.0000029102996764,CUT_LIMIT,0.03400063514709473,100,,OPTIMAL,0.0,0,-0.24211932528100677,OPTIMAL,0.0009999275207519531,2,-0.22357166684409685,OPTIMAL,0.0019998550415039062,30,0.2481761060490699,OPTIMAL,0.00500035285949707,38,-1.0000029102996764,OPTIMAL,0.04400038719177246,135,0.9967640150881079,OPTIMAL,0.0,0,-0.060279719815630364,OPTIMAL,0.0,3,-0.06048100860983381,OPTIMAL,0.004999876022338867,25,-0.05914967450964144,OPTIMAL,0.006000041961669922,32,-1.000000495049776,OPTIMAL,0.010000467300415039,81,-0.990079558151292,OPTIMAL,0.002000093460083008,25,-0.05914967450964144,OPTIMAL,0.0,3,-0.06048100860983381,OPTIMAL,0.0,0,-0.060279719815630364,OPTIMAL,0.003999948501586914,32,-1.000000495049776,OPTIMAL,0.01900005340576172,81,-0.990079558151292,OPTIMAL,0.0,0,-0.060279719815630364,OPTIMAL,0.0009999275207519531,3,-0.06048100860983381,OPTIMAL,0.0030002593994140625,25,-0.05914967450964144,OPTIMAL,0.004000425338745117,32,-1.000000495049776,OPTIMAL,0.01900005340576172,81,-0.990079558151292
AASDHPPT,OPTIMAL,0.0,0,-0.41085606133917213,OPTIMAL,0.0,3,-0.22117823724564936,OPTIMAL,0.003999948501586914,30,0.1038832726216322,OPTIMAL,0.004000186920166016,43,-0.33227442035103755,CUT_LIMIT,0.07300066947937012,100,,OPTIMAL,0.0,0,-0.41085606133917213,OPTIMAL,0.0,3,-0.22117823724564936,OPTIMAL,0.0020003318786621094,30,0.1038832726216322,OPTIMAL,0.004000186920166016,43,-0.33227442035103755,OPTIMAL,0.21200108528137207,242,-0.8118099390424078,OPTIMAL,0.0,0,-0.12294744880939945,OPTIMAL,0.0009999275207519531,12,-0.0952143593126108,OPTIMAL,0.012999773025512695,58,-0.07312251850308418,OPTIMAL,0.004000425338745117,24,-1.000000003374575,CUT_LIMIT,0.04500079154968262,100,,OPTIMAL,0.009999513626098633,58,-0.07312251850308418,OPTIMAL,0.0,12,-0.0952143593126108,OPTIMAL,0.0,0,-0.12294744880939945,OPTIMAL,0.004999876022338867,24,-1.000000003374575,OPTIMAL,0.04400014877319336,151,-0.3432400275410579,OPTIMAL,0.0,0,-0.12294744880939945,OPTIMAL,0.002000093460083008,12,-0.0952143593126108,OPTIMAL,0.00599980354309082,58,-0.07312251850308418,OPTIMAL,0.0029997825622558594,24,-1.000000003374575,OPTIMAL,0.04899954795837402,151,-0.3432400275410579
AASS,OPTIMAL,0.0,0,-0.2822103694410938,OPTIMAL,0.0,2,-0.1372061400209661,CUT_LIMIT,0.013000249862670898,100,,OPTIMAL,0.0039997100830078125,40,-1.0000015035332805,CUT_LIMIT,0.05200028419494629,100,,OPTIMAL,0.0,0,-0.2822103694410938,OPTIMAL,0.0,2,-0.1372061400209661,CUT_LIMIT,0.6959991455078125,1000,,OPTIMAL,0.004999876022338867,40,-1.0000015035332805,OPTIMAL,0.6920011043548584,475,-0.8065867305874374,OPTIMAL,0.0,0,-0.07449921666810433,OPTIMAL,0.0,3,-0.062112046305462874,CUT_LIMIT,0.010999679565429688,100,,OPTIMAL,0.0019998550415039062,21,-1.0000000000020128,CUT_LIMIT,0.031000375747680664,100,,CUT_LIMIT,0.36999988555908203,1000,,OPTIMAL,0.0,3,-0.062112046305462874,OPTIMAL,0.0,0,-0.07449921666810433,OPTIMAL,0.0,21,-1.0000000000020128,OPTIMAL,0.0260007381439209,101,-0.3130192186907372,OPTIMAL,0.0,0,-0.07449921666810433,OPTIMAL,0.0009999275207519531,3,-0.062112046305462874,TOTAL_TIME_LIMIT,30.002995252609253,8679,,OPTIMAL,0.004999876022338867,21,-1.0000000000020128,OPTIMAL,0.03300023078918457,101,-0.3130192186907372
AATF,OPTIMAL,0.0,0,-0.4307262786869402,OPTIMAL,0.0009999275207519531,2,-0.11154582660098127,OPTIMAL,0.007999897003173828,36,0.16966524030759622,OPTIMAL,0.0010001659393310547,49,-0.41627384393673844,CUT_LIMIT,0.05499982833862305,100,,OPTIMAL,0.0,0,-0.4307262786869402,OPTIMAL,0.0,2,-0.11154582660098127,OPTIMAL,0.003999948501586914,36,0.16966524030759622,OPTIMAL,0.004000186920166016,49,-0.41627384393673844,CUT_LIMIT,4.7429986000061035,1000,,OPTIMAL,0.0,0,-0.161326404180143,OPTIMAL,0.0,4,-0.16770872472590886,OPTIMAL,0.0009999275207519531,31,-0.7470474140725742,OPTIMAL,0.004000186920166016,33,-0.563438189051693,CUT_LIMIT,0.02599954605102539,100,,OPTIMAL,0.002000093460083008,31,-0.7470474140725742,OPTIMAL,0.0010001659393310547,4,-0.16770872472590886,OPTIMAL,0.0,0,-0.161326404180143,OPTIMAL,0.003999948501586914,33,-0.563438189051693,CUT_LIMIT,0.5279972553253174,1000,,OPTIMAL,0.0009999275207519531,0,-0.161326404180143,OPTIMAL,0.0,4,-0.16770872472590886,OPTIMAL,0.009000062942504883,31,-0.7470474140725742,OPTIMAL,0.0009999275207519531,33,-0.563438189051693,TOTAL_TIME_LIMIT,30.00400733947754,8512,
ABCA1,OPTIMAL,0.0,0,-0.28133598210218697,OPTIMAL,0.0,3,-0.16827215223402406,CUT_LIMIT,0.00800013542175293,100,,OPTIMAL,0.0019998550415039062,34,-0.8532043670566046,CUT_LIMIT,0.029000043869018555,100,,OPTIMAL,0.0,0,-0.28133598210218697,OPTIMAL,0.0,3,-0.16827215223402406,CUT_LIMIT,0.341001033782959,1000,,OPTIMAL,0.002000093460083008,34,-0.8532043670566046,CUT_LIMIT,0.5960018634796143,1000,,OPTIMAL,0.0,0,-0.08145153125674473,OPTIMAL,0.0009999275207519531,3,-0.07257627377518143,OPTIMAL,0.0019998550415039062,8,-0.8015075842164222,OPTIMAL,0.0009999275207519531,10,-1.0000000000083082,OPTIMAL,0.0010001659393310547,26,-1.0000000269756608,OPTIMAL,0.0019998550415039062,8,-0.8015075842164222,OPTIMAL,0.0,3,-0.07257627377518143,OPTIMAL,0.0009999275207519531,0,-0.08145153125674473,OPTIMAL,0.0010001659393310547,10,-1.0000000000083082,OPTIMAL,0.003000020980834961,26,-1.0000000269756608,OPTIMAL,0.0,0,-0.08145153125674473,OPTIMAL,0.0010001659393310547,3,-0.07257627377518143,OPTIMAL,0.0,8,-0.8015075842164222,OPTIMAL,0.0,10,-1.0000000000083082,OPTIMAL,0.003000020980834961,26,-1.0000000269756608
ABCA5,OPTIMAL,0.0009999275207519531,0,-0.264415791792638,OPTIMAL,0.0,4,-0.11874725488427072,OPTIMAL,0.003999948501586914,23,-0.03525742677933305,OPTIMAL,0.004000186920166016,29,-1.0000000140760015,CUT_LIMIT,0.05500054359436035,100,,OPTIMAL,0.0,0,-0.264415791792638,OPTIMAL,0.0010001659393310547,4,-0.11874725488427072,OPTIMAL,0.0029997825622558594,23,-0.03525742677933305,OPTIMAL,0.006999969482421875,29,-1.0000000140760015,OPTIMAL,0.08100008964538574,165,-0.65159012630422,OPTIMAL,0.0,0,-0.07052085011918752,OPTIMAL,0.0,3,-0.0708136044641362,CUT_LIMIT,0.008999824523925781,100,,OPTIMAL,0.004000186920166016,21,-1.0000000381559535,OPTIMAL,0.026000499725341797,86,-0.9293819971256904,CUT_LIMIT,0.36499714851379395,1000,,OPTIMAL,0.0,3,-0.0708136044641362,OPTIMAL,0.0,0,-0.07052085011918752,OPTIMAL,0.0009999275207519531,21,-1.0000000381559535,OPTIMAL,0.023000478744506836,86,-0.9293819971256904,OPTIMAL,0.0009999275207519531,0,-0.07052085011918752,OPTIMAL,0.0,3,-0.0708136044641362,TOTAL_TIME_LIMIT,30.005996227264404,8687,,OPTIMAL,0.0020003318786621094,21,-1.0000000381559535,OPTIMAL,0.020999908447265625,86,-0.9293819971256904
ABCA6,OPTIMAL,0.0,0,-0.21462042241160997,OPTIMAL,0.0,5,-0.08317188375496651,OPTIMAL,0.0,17,-0.13822554404955958,OPTIMAL,0.0,44,-0.5271216239597881,CUT_LIMIT,0.03299975395202637,100,,OPTIMAL,0.0,0,-0.21462042241160997,OPTIMAL,0.0,5,-0.08317188375496651,OPTIMAL,0.0010001659393310547,17,-0.13822554404955958,OPTIMAL,0.003000020980834961,44,-0.5271216239597881,OPTIMAL,0.0670006275177002,160,-0.49574289559737517,OPTIMAL,0.0,0,-0.05339259065480443,OPTIMAL,0.0009999275207519531,3,-0.05167371305677204,OPTIMAL,0.0009999275207519531,9,-1.0000000007686383,OPTIMAL,0.0,19,-1.0000000871076462,OPTIMAL,0.0010001659393310547,24,-1.0000002140271378,OPTIMAL,0.0,9,-1.0000000007686383,OPTIMAL,0.0,3,-0.05167371305677204,OPTIMAL,0.0,0,-0.05339259065480443,OPTIMAL,0.0010001659393310547,19,-1.0000000871076462,OPTIMAL,0.0039997100830078125,24,-1.0000002140271378,OPTIMAL,0.0,0,-0.05339259065480443,OPTIMAL,0.0,3,-0.05167371305677204,OPTIMAL,0.0,9,-1.0000000007686383,OPTIMAL,0.0009999275207519531,19,-1.0000000871076462,OPTIMAL,0.0029997825622558594,24,-1.0000002140271378
